generation,best_individual_fitness,mean_fitness,tree
20,177.6068293788272,247.09249,"(* (- (exp (/ PT (max _0.1 (+ SLACK _2)))) OpsLeft) SLACK)"
21,177.6068293788272,Infinity,"(* (- (exp (/ PT (max _0.1 (+ SLACK _2)))) OpsLeft) SLACK)"
22,176.82542788735225,200.58221,"(* (- (exp (/ PT (max _0.1 SLACK))) TimeTillDue) SLACK)"
23,176.82542788735225,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) TimeTillDue) SLACK)"
24,176.82542788735225,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) TimeTillDue) SLACK)"
25,176.82542788735225,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) TimeTillDue) SLACK)"
26,176.82542788735225,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) TimeTillDue) SLACK)"
27,176.82542788735225,Infinity,"(* (- (exp (/ PT (max _0.1 SLACK))) TimeTillDue) SLACK)"
28,176.82542788735225,Infinity,"(* (- (exp (/ PT (max _0.1 SLACK))) TimeTillDue) SLACK)"
29,176.82542788735225,Infinity,"(* (- (exp (/ PT (max _0.1 SLACK))) TimeTillDue) SLACK)"
30,176.82542788735225,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) TimeTillDue) SLACK)"
31,175.2802055824674,186.45689,"(* PT SLACK)"
32,175.2802055824674,Infinity,"(* PT SLACK)"
33,175.2802055824674,199.30171,"(* PT SLACK)"
34,175.2802055824674,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* PT SLACK)"
35,175.2802055824674,196.00962,"(* PT SLACK)"
36,175.2802055824674,184.38491,"(* PT SLACK)"
37,175.2802055824674,193.47358,"(* PT SLACK)"
38,175.2802055824674,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* PT SLACK)"
39,175.2802055824674,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* PT SLACK)"
40,175.2802055824674,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* PT SLACK)"
41,175.2802055824674,184.99087,"(* PT SLACK)"
42,175.2802055824674,Infinity,"(* PT SLACK)"
43,175.2802055824674,195.67042,"(* PT SLACK)"
44,175.2802055824674,192.41430,"(* PT SLACK)"
45,175.2802055824674,189.84776,"(* PT SLACK)"
46,175.2802055824674,200.75289,"(* PT SLACK)"
47,175.2802055824674,205.75813,"(* PT SLACK)"
48,175.2802055824674,201.73361,"(* PT SLACK)"
49,175.2802055824674,194.86573,"(* PT SLACK)"
