generation,best_individual_fitness,mean_fitness,tree
22,248.80452909188548,533.08131,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (if _0.5 LLD TimeInQueue) (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
23,248.80452909188548,546.09097,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ RemProcTime NPT) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (+ (exp _10) (if _1 PT OpsLeft))) (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
24,248.80452909188548,609.88909,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (if (min _0.1 _2) PT _0.5)) (- (if _1 PT OpsLeft) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
25,248.80452909188548,612.15734,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (min _0.1 _2)))) (max (- (min _0.5 (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (- (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if RemProcTime PT _0.5))) (exp _0.1)) (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (max _5 _0.5) (* (exp _0) _2))))))"
26,248.80449378146204,565.08429,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if RemProcTime PT _0.5)))) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (if (min _0.1 _2) PT _0.5)) (- (min (if NPT TimeInSystem TimeInSystem) (min (+ RemProcTime NPT) (+ _5 _1))) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
27,248.80449378146204,527.62063,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if RemProcTime PT _0.5)))) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (if (min _0.1 _2) PT _0.5)) (- (min (if NPT TimeInSystem TimeInSystem) (min (+ RemProcTime NPT) (+ _5 _1))) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
28,248.80449378146204,510.02949,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if RemProcTime PT _0.5)))) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (if (min _0.1 _2) PT _0.5)) (- (min (if NPT TimeInSystem TimeInSystem) (min (+ RemProcTime NPT) (+ _5 _1))) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
29,248.80446551769992,682.96403,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT (min _0.1 _2)) (max _5 _0.5))) (if (+ (exp _10) (- (min _0.5 (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft)))) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (min (+ RemProcTime NPT) (+ _5 _1))) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (+ (exp _10) (exp _10))) (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue))))))"
30,248.8043980060601,567.16646,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (- (min (min _0.1 _2) (+ _5 _1)) (- (/ _0.5 SSD) (if RemProcTime PT _0.5)))) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (if (min _0.1 _2) PT _0.5)) (- (min (if NPT TimeInSystem TimeInSystem) (min (+ RemProcTime NPT) (+ _5 _1))) (+ (/ _0.5 SSD) (max _5 _0.5))))))"
31,248.8043980060601,743.83025,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (- (min (min _0.1 _2) (+ _5 _1)) (- (/ _0.5 SSD) (if RemProcTime PT _0.5)))) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (if (min _0.1 _2) PT _0.5)) (- (min (if NPT TimeInSystem TimeInSystem) (min (+ RemProcTime NPT) (+ _5 _1))) (+ (/ _0.5 SSD) (max _5 _0.5))))))"
32,248.80439192227854,593.54121,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (if _1 PT OpsLeft)))) (max (- (min _0.5 (- (min (+ RemProcTime NPT) (+ _5 _1)) (min _0.1 _2))) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (if (min _0.1 _2) PT _0.5)) (- (min (if NPT TimeInSystem TimeInSystem) (min (+ RemProcTime NPT) (+ _5 _1))) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
33,248.80439192227854,563.55489,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (if _1 PT OpsLeft)))) (max (- (min _0.5 (- (min (+ RemProcTime NPT) (+ _5 _1)) (min _0.1 _2))) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (if (min _0.1 _2) PT _0.5)) (- (min (if NPT TimeInSystem TimeInSystem) (min (+ RemProcTime NPT) (+ _5 _1))) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
34,248.80439192227854,682.56396,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (if _1 PT OpsLeft)))) (max (- (min _0.5 (- (min (+ RemProcTime NPT) (+ _5 _1)) (min _0.1 _2))) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (if (min _0.1 _2) PT _0.5)) (- (min (if NPT TimeInSystem TimeInSystem) (min (+ RemProcTime NPT) (+ _5 _1))) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
